precio,expensas,direccion,superficie,dormitorios,banos,antiguedad,fuente,ciudad,superficie_imputada,superficie_rango,banos_imputado
340500.0,100000.0,22 e/ 44 y 45,30,,1,5,argenprop,Buenos Aires,False,"(23.999, 42.0]",False
520000.0,,Plaza Italia y Diagonal 74,67,1,1,20,argenprop,Buenos Aires,False,"(52.0, 70.0]",True
650000.0,60000.0,Plaza Matheu 100,75,2,2,5,argenprop,Buenos Aires,False,"(70.0, 300.0]",True
750000.0,130000.0,Roque Saenz PeÑa 200,57,2,1,,argenprop,Chaco,True,"(52.0, 70.0]",False
290000.0,50000.0,EDISON 800,46,1,1,,argenprop,Chaco,True,"(42.0, 52.0]",False
430000.0,,AVENIDA HERNADARIAS 1900,,2,,,argenprop,Chaco,False,,False
320000.0,,2 DE FEBRERO DE 1982 100,80,3,1,,argenprop,Chaco,True,"(70.0, 300.0]",False
500000.0,,NECOCHEA 500,46,1,1,,argenprop,Chaco,True,"(42.0, 52.0]",False
250000.0,40000.0,"Juan Domingo Perón 1500, Piso 2",46,1,1,,argenprop,Chaco,True,"(42.0, 52.0]",False
650000.0,,"Necochea 200, Piso 1",80,2,2,20,argenprop,Chaco,False,"(70.0, 300.0]",True
420000.0,80000.0,"Av. Piacentini 1100, Piso 2",80,3,2,17,argenprop,Chaco,False,"(70.0, 300.0]",True
260000.0,18000.0,Seitor 1600,30,1,1,,argenprop,Chaco,False,"(23.999, 42.0]",False
700000.0,,"Mitre 700, Piso 1",87,3,2,,argenprop,Chaco,True,"(70.0, 300.0]",False
300000.0,30000.0,"Ameghino 2100, Piso 1",30,1,1,,argenprop,Chaco,False,"(23.999, 42.0]",False
650000.0,250000.0,"SALTA 300, Piso 4",46,1,1,,argenprop,Chaco,True,"(42.0, 52.0]",False
600000.0,50000.0,"MONTEAGUDO 1000, Piso PB",65,3,2,20,argenprop,Chaco,False,"(52.0, 70.0]",True
700000.0,130000.0,"LA RIOJA 100, Piso 10",87,3,2,,argenprop,Chaco,True,"(70.0, 300.0]",False
260000.0,50000.0,"NECOCHEA 1200, Piso 3",35,1,1,10,argenprop,Chaco,False,"(23.999, 42.0]",True
850000.0,150000.0,"Mendoza 400, Piso 9",110,3,2,30,argenprop,Chaco,False,"(70.0, 300.0]",True
430000.0,,Av Piacentini 1100,80,3,1,,argenprop,Chaco,False,"(70.0, 300.0]",False
350000.0,55000.0,Roldan  al 400,36,1,1,6,argenprop,Chaco,False,"(23.999, 42.0]",True
420000.0,,"DONOVAN 1200, Piso P.B.",70,2,1,,argenprop,Chaco,False,"(52.0, 70.0]",False
500000.0,,"JULIO A ROCA 700, Piso P.B.",55,2,2,,argenprop,Chaco,False,"(52.0, 70.0]",False
400000.0,60000.0,"ILLIA ARTURO 600, Piso 1",70,2,1,35,argenprop,Chaco,False,"(52.0, 70.0]",True
320000.0,5000.0,"JUSTO JUAN B. 1600, Piso 1",40,1,1,,argenprop,Chaco,False,"(23.999, 42.0]",False
250000.0,30000.0,"PADRE CERQUEIRA 600, Piso 1",40,1,1,,argenprop,Chaco,False,"(23.999, 42.0]",False
320000.0,50000.0,"FRANKLIN 700, Piso 1",30,1,1,15,argenprop,Chaco,False,"(23.999, 42.0]",True
320000.0,70000.0,"SAN LORENZO 1300, Piso 2",40,1,1,,argenprop,Chaco,False,"(23.999, 42.0]",False
450000.0,170000.0,"GARCIA MEROU 200, Piso 1",80,3,2,,argenprop,Chaco,False,"(70.0, 300.0]",True
450000.0,70000.0,"LOPEZ PIACENTINI 1100, Piso 1",55,2,1,,argenprop,Chaco,False,"(52.0, 70.0]",False
350000.0,30000.0,"LAS HERAS 300, Piso 2",40,1,1,,argenprop,Chaco,False,"(23.999, 42.0]",False
250000.0,,Jose Maria Paz 900,,1,,,argenprop,Chaco,False,,False
450000.0,100000.0,Fray Capelli 100,45,1,1,,argenprop,Chaco,False,"(42.0, 52.0]",False
300000.0,,Barrio Guiraldes,,2,,,argenprop,Chaco,False,,False
380000.0,,Fray Capelli 100,46,1,1,,argenprop,Chaco,True,"(42.0, 52.0]",False
580000.0,50000.0,"PUEYRREDON 400, Piso 3",70,3,2,,argenprop,Chaco,False,"(52.0, 70.0]",False
420000.0,30000.0,"AV. MORENO 200, Piso 1",45,1,1,,argenprop,Chaco,False,"(42.0, 52.0]",False
580000.0,160000.0,"Pueyrredón 400, Piso 2",60,2,1,,argenprop,Chaco,False,"(52.0, 70.0]",False
420000.0,40000.0,"PADRE CERQUEIRA 600, Piso P.B.",55,2,1,,argenprop,Chaco,False,"(52.0, 70.0]",True
250000.0,27000.0,"CERQUEIRA P. 600, Piso 1",38,1,1,,argenprop,Chaco,False,"(23.999, 42.0]",False
450000.0,30000.0,"MONTEAGUDO 1300, Piso 2",40,1,1,,argenprop,Chaco,False,"(23.999, 42.0]",False
420000.0,30000.0,"MONTEAGUDO 1300, Piso 2",40,1,1,,argenprop,Chaco,False,"(23.999, 42.0]",False
780000.0,70000.0,"Concepción del Bermejo 100, Piso 2",75,2,2,,argenprop,Chaco,False,"(70.0, 300.0]",False
700000.0,,Mitre 700,87,3,2,,argenprop,Chaco,True,"(70.0, 300.0]",False
380000.0,45000.0,OBISPO SALGUERO 100,46,1,1,,argenprop,Cordoba,True,"(42.0, 52.0]",False
550000.0,105000.0,"Independencia 300, Piso 7",45,1,1,10,argenprop,Cordoba,False,"(42.0, 52.0]",True
450000.0,70000.0,"Domingo F Sarmiento 1300, Piso 2",,1,,3,argenprop,Cordoba,False,,False
500000.0,100000.0,"Avenida Marcelo T. De Alvear 900, Piso PB",46,1,1,,argenprop,Cordoba,True,"(42.0, 52.0]",False
350000.0,,Fructuoso Rivera 1000,40,1,1,,argenprop,Cordoba,False,"(23.999, 42.0]",True
450000.0,130000.0,Av. Sagrada familia 400,40,1,1,,argenprop,Cordoba,False,"(23.999, 42.0]",True
400000.0,90000.0,"Bv Illia 500, Piso 1",40,1,1,15,argenprop,Cordoba,False,"(23.999, 42.0]",True
600000.0,88000.0,"Av Duarte Quiros 4300, Piso PB",90,3,2,40,argenprop,Cordoba,False,"(70.0, 300.0]",True
520000.0,78000.0,"General Paz 1900, Piso 2",46,1,1,,argenprop,Cordoba,True,"(42.0, 52.0]",False
530000.0,60000.0,"San Jeronimo 300, Piso 7",40,2,1,,argenprop,Cordoba,False,"(23.999, 42.0]",False
750000.0,150000.0,"San Lorenzo 100, Piso 8",85,2,2,15,argenprop,Cordoba,False,"(70.0, 300.0]",True
300000.0,,"Avenida Leandro N. Alem 900, Piso PB",30,,,,argenprop,Cordoba,False,"(23.999, 42.0]",False
500000.0,115000.0,"HILARIO FERNANDEZ 100, Piso 2",46,1,1,,argenprop,Cordoba,True,"(42.0, 52.0]",False
500000.0,95000.0,"Bv Chacabuco 500, Piso 3",46,1,1,10,argenprop,Cordoba,False,"(42.0, 52.0]",True
480000.0,40000.0,"SANTA ROSA 1300, Piso 1",60,2,1,30,argenprop,Cordoba,False,"(52.0, 70.0]",True
330000.0,55000.0,"Vieytes 200, Piso 1",45,1,1,23,argenprop,Cordoba,False,"(42.0, 52.0]",True
550000.0,160000.0,"Fructuoso Rivera 400, Piso 1",40,1,1,8,argenprop,Cordoba,False,"(23.999, 42.0]",True
700000.0,30000.0,PADRE LUIS GALEANO 900,45,1,1,,argenprop,Cordoba,False,"(42.0, 52.0]",True
450000.0,50000.0,"Independencia 1400, Piso 2",48,1,1,22,argenprop,Cordoba,False,"(42.0, 52.0]",True
1619800.0,,NEPER 5300,150,2,2,,argenprop,Cordoba,False,"(70.0, 300.0]",False
700000.0,,27 de Abril 900,80,2,2,30,argenprop,Cordoba,False,"(70.0, 300.0]",True
550000.0,,"AV.ESTRADA 100, Piso 3",50,1,1,,argenprop,Cordoba,False,"(42.0, 52.0]",True
1000000.0,300000.0,NAPOLES 500,95,2,2,1,argenprop,Cordoba,False,"(70.0, 300.0]",True
500000.0,45000.0,Obispo Salguero 100,57,2,1,,argenprop,Cordoba,True,"(52.0, 70.0]",False
600000.0,50000.0,MARCELO T DE ALVEAR 900,87,3,2,,argenprop,Cordoba,True,"(70.0, 300.0]",False
640000.0,110000.0,"M Fragueiro 300, Piso 8",55,2,1,42,argenprop,Cordoba,False,"(52.0, 70.0]",True
400000.0,70000.0,Tucumán 400,50,1,1,9,argenprop,Cordoba,False,"(42.0, 52.0]",True
550000.0,,"OB SALGUERO 600, Piso 6",55,1,1,,argenprop,Cordoba,False,"(52.0, 70.0]",True
700000.0,120000.0,JERONIMO LUIS DE CABRERA 700,90,2,2,,argenprop,Cordoba,False,"(70.0, 300.0]",False
420000.0,124000.0,"24 de septiembre 1500, Piso 5",45,1,1,10,argenprop,Cordoba,False,"(42.0, 52.0]",True
450000.0,90000.0,"Lima 1900, Piso 5",50,1,1,15,argenprop,Cordoba,False,"(42.0, 52.0]",True
550000.0,,"Ituzaingo 400, Piso 3",46,1,1,,argenprop,Cordoba,True,"(42.0, 52.0]",False
430000.0,,"Belgrano 400, Piso 11",42,1,1,,argenprop,Cordoba,False,"(23.999, 42.0]",False
850000.0,70000.0,"David Luque 1000, Piso 4",86,2,2,,argenprop,Cordoba,True,"(70.0, 300.0]",False
310000.0,36000.0,"Paraguay 100, Piso 1",35,1,1,,argenprop,Cordoba,False,"(23.999, 42.0]",False
320000.0,60000.0,"Isabel La Católica 1000, Piso 4",45,1,1,5,argenprop,Cordoba,False,"(42.0, 52.0]",True
450000.0,97000.0,"Duarte Quirós 4900, Piso 4",40,1,1,15,argenprop,Cordoba,False,"(23.999, 42.0]",True
400000.0,,"ENFERMERA CLERMONT 300, Piso 3",46,1,1,15,argenprop,Cordoba,True,"(42.0, 52.0]",False
270000.0,78000.0,Arturo Orgaz 258,30,1,1,27,argenprop,Cordoba,False,"(23.999, 42.0]",True
600000.0,54000.0,"Parana 600, Piso 9",48,2,1,21,argenprop,Cordoba,False,"(42.0, 52.0]",True
600000.0,112000.0,"Bv San Juan 700, Piso 10",45,1,1,25,argenprop,Cordoba,False,"(42.0, 52.0]",True
550000.0,105000.0,"Independencia 300, Piso 7",45,1,1,12,argenprop,Cordoba,False,"(42.0, 52.0]",True
305000.0,,Trafalgar 1000,42,1,1,15,argenprop,Cordoba,False,"(23.999, 42.0]",True
1300000.0,250000.0,"Colon 400, Piso 11",25,2,1,30,argenprop,Cordoba,False,"(23.999, 42.0]",True
800000.0,,"Av. Pujol 1900, Piso 1",87,3,2,,argenprop,Corrientes,True,"(70.0, 300.0]",False
400000.0,,Belgrano 2400,38,1,1,6,argenprop,Corrientes,False,"(23.999, 42.0]",True
280000.0,,Av. independencia 4800,57,2,1,,argenprop,Corrientes,True,"(52.0, 70.0]",False
330000.0,,"Las Heras 1200, Piso 3",46,1,1,,argenprop,Corrientes,True,"(42.0, 52.0]",False
300000.0,,"Sourigues 100, Piso 1",35,1,1,,argenprop,Entre Rios,False,"(23.999, 42.0]",False
700000.0,120000.0,Cacique Mariano Rosas 100,79,2,2,25,argenprop,La Pampa,False,"(70.0, 300.0]",True
650000.0,,Nicolás Avellaneda 400,63,2,1,,argenprop,Mendoza,False,"(52.0, 70.0]",False
1121400.0,,MARTINEZ DE ROSAS 45 100,90,2,2,,argenprop,Mendoza,False,"(70.0, 300.0]",True
850000.0,,F J Moyano 1400,87,3,2,,argenprop,Mendoza,True,"(70.0, 300.0]",False
800000.0,,Montevideo 600,80,3,1,,argenprop,Mendoza,True,"(70.0, 300.0]",False
809900.0,,Boulogne Sur Mer 1300,46,1,1,,argenprop,Mendoza,True,"(42.0, 52.0]",False
300000.0,,General Paz 400,46,1,1,,argenprop,Mendoza,True,"(42.0, 52.0]",False
370000.0,,AVENIDA MITRE 2400,80,3,1,,argenprop,Mendoza,True,"(70.0, 300.0]",False
850000.0,,NICOLAS AVELLANEDA 500,100,3,3,,argenprop,Mendoza,True,"(70.0, 300.0]",False
550000.0,,Avenida Bartolomé Mitre 700,46,1,1,,argenprop,Mendoza,True,"(42.0, 52.0]",False
430000.0,15000.0,"Jose Federico Moreno 1100, Piso PB",80,1,1,45,argenprop,Mendoza,False,"(70.0, 300.0]",True
590000.0,39000.0,"OLASCOAGA , Piso PB",75,2,2,20,argenprop,Mendoza,False,"(70.0, 300.0]",True
350000.0,45000.0,Patricias Mendocinas Y PEDRO MOLINA,46,1,1,,argenprop,Mendoza,True,"(42.0, 52.0]",False
420000.0,50000.0,Avenida España 900,40,1,1,45,argenprop,Mendoza,False,"(23.999, 42.0]",True
470000.0,45000.0,"9 de julio 300, Piso 2",79,3,1,,argenprop,Mendoza,False,"(70.0, 300.0]",False
650000.0,45000.0,"9 DE JULIO  Y PEATONAL, CIUDAD",60,2,1,15,argenprop,Mendoza,False,"(52.0, 70.0]",True
800000.0,,Granaderos y Lamadrid,90,2,2,20,argenprop,Mendoza,False,"(70.0, 300.0]",True
350000.0,60000.0,BUENOS AIRES,45,1,1,30,argenprop,Mendoza,False,"(42.0, 52.0]",True
320000.0,9500.0,Joaquin V Gonzalez 100,26,,,20,argenprop,Mendoza,False,"(23.999, 42.0]",False
1495200.0,,MARIANO MORENO 555 TORRES LELOIR,75,1,1,0,argenprop,Mendoza,False,"(70.0, 300.0]",True
500000.0,,Jujuy 1146 Cuarta Seccion Capital Mendoza,100,2,2,30,argenprop,Mendoza,False,"(70.0, 300.0]",True
1869000.0,180000.0,MARIANO MORENO,98,2,2,0,argenprop,Mendoza,False,"(70.0, 300.0]",True
600000.0,,LUGONES Y RODRIGUEZ,90,3,2,20,argenprop,Mendoza,False,"(70.0, 300.0]",True
420000.0,,"Cayetano Silva 2200, Piso 1",65,2,1,,argenprop,Mendoza,False,"(52.0, 70.0]",False
1100000.0,130000.0,"RUFINO ORTEGA, QUINTA SECCIÓN",70,2,1,1,argenprop,Mendoza,False,"(52.0, 70.0]",True
450000.0,,LA RIOJA,45,1,1,7,argenprop,Mendoza,False,"(42.0, 52.0]",True
400000.0,20000.0,Dr Leloir 91,50,1,1,6,argenprop,Mendoza,False,"(42.0, 52.0]",True
400000.0,70000.0,Edificio Emperador 1. calle Buenos Aires 428,30,1,1,15,argenprop,Mendoza,False,"(23.999, 42.0]",True
1150000.0,,"Francisco Moyano ,sexta sección",120,3,2,10,argenprop,Mendoza,False,"(70.0, 300.0]",True
350000.0,,"CALLE NOTTI,FRENTE AL DALVIAN",45,1,1,10,argenprop,Mendoza,False,"(42.0, 52.0]",True
430000.0,42000.0,TAPON MOYANO,79,2,2,0,argenprop,Mendoza,False,"(70.0, 300.0]",True
872200.0,,Avenida Colón 700,70,2,1,25,argenprop,Mendoza,False,"(52.0, 70.0]",True
1806700.0,50000.0,Avenida España 700,220,3,2,45,argenprop,Mendoza,False,"(70.0, 300.0]",True
1270000.0,,"Paso de los Andes 200, Piso 0",70,2,1,2025,argenprop,Mendoza,False,"(52.0, 70.0]",True
1121400.0,,"Necochea 473, Mendoza, 100",95,3,2,8,argenprop,Mendoza,False,"(70.0, 300.0]",True
565000.0,92000.0,Mitre 700,50,1,1,,argenprop,Mendoza,False,"(42.0, 52.0]",False
550000.0,,"PATRICIAS MENDOCINAS , Piso 2",120,3,2,2025,argenprop,Mendoza,False,"(70.0, 300.0]",True
800000.0,,"Av.Mitre 1700, Piso 0",127,2,2,2025,argenprop,Mendoza,False,"(70.0, 300.0]",True
996800.0,108000.0,AVENIDA MITRE 700,84,2,2,21,argenprop,Mendoza,False,"(70.0, 300.0]",True
430000.0,100000.0,Chacabuco 400,80,3,1,,argenprop,Mendoza,False,"(70.0, 300.0]",False
1059100.0,218000.0,BARRIO DALVIAN 100,60,1,1,2,argenprop,Mendoza,False,"(52.0, 70.0]",True
800000.0,240000.0,Avenida Colón 400,80,3,2,19,argenprop,Mendoza,False,"(70.0, 300.0]",True
850000.0,60000.0,Gutiérrez 700,60,2,1,30,argenprop,Mendoza,False,"(52.0, 70.0]",True
600000.0,200000.0,Junín  20,86,2,2,14,argenprop,Mendoza,True,"(70.0, 300.0]",False
950000.0,125000.0,Avenida Bartolomé Mitre 500,120,3,2,30,argenprop,Mendoza,False,"(70.0, 300.0]",True
900000.0,97000.0,"PUEYRREDON 300, Piso 0",75,2,2,2025,argenprop,Mendoza,False,"(70.0, 300.0]",True
730000.0,60000.0,Gutierrez 700,54,2,1,39,argenprop,Mendoza,False,"(52.0, 70.0]",True
580000.0,45000.0,Montevideo 100,75,2,2,45,argenprop,Mendoza,False,"(70.0, 300.0]",True
380000.0,,Patricias Mendocinas 1200,24,1,1,47,argenprop,Mendoza,False,"(23.999, 42.0]",True
700000.0,220000.0,"Junin 2000, Piso 9",93,3,2,,argenprop,Misiones,False,"(70.0, 300.0]",False
700000.0,,"FELIX DE AZARA 2000, Piso 6",63,2,2,,argenprop,Misiones,False,"(52.0, 70.0]",False
620000.0,,"Ramón Lista 1100, Piso 4",42,1,1,,argenprop,Misiones,False,"(23.999, 42.0]",False
400000.0,120000.0,"Alvear , Piso 6",42,1,1,,argenprop,Misiones,False,"(23.999, 42.0]",True
570000.0,,"Ramón Lista 1100, Piso 3",37,1,1,,argenprop,Misiones,False,"(23.999, 42.0]",False
800000.0,,"Depto. de 2 dormitorios, con cochera Edificio Puerta de Alcalá 21D",97,1,1,0,argenprop,Misiones,False,"(70.0, 300.0]",True
680000.0,,"Departamento de 1 dormitorio amoblado, Posadas",46,1,1,0,argenprop,Misiones,True,"(42.0, 52.0]",False
350000.0,,Av. Uruguay y Av. Buchardo,60,1,1,0,argenprop,Misiones,False,"(52.0, 70.0]",True
1200000.0,,"Beato Roque González 800, Piso 9",105,2,3,,argenprop,Misiones,False,"(70.0, 300.0]",False
900000.0,,"Beato Roque González 800, Piso 12",65,1,1,,argenprop,Misiones,False,"(52.0, 70.0]",False
2500000.0,,"Colon 1300, Piso 15",300,5,5,10,argenprop,Misiones,True,"(70.0, 300.0]",False
300000.0,,Av. Lopez y Planes y Vivanco,60,2,1,10,argenprop,Misiones,False,"(52.0, 70.0]",True
350000.0,60000.0,Av. López y Planes y Jauretche,47,1,1,0,argenprop,Misiones,False,"(42.0, 52.0]",True
920000.0,,"Beato Roque González 800, Piso 13",65,1,1,,argenprop,Misiones,False,"(52.0, 70.0]",False
920000.0,,"Beato Roque González 800, Piso 14",65,1,1,,argenprop,Misiones,False,"(52.0, 70.0]",False
390000.0,,Av. Francisco de Haro y Ambrosetti,65,1,1,0,argenprop,Misiones,False,"(52.0, 70.0]",True
450000.0,,Avila al 4400,70,2,1,0,argenprop,Misiones,False,"(52.0, 70.0]",True
700000.0,,"Beato Roque González 800, Piso 13",46,1,1,,argenprop,Misiones,True,"(42.0, 52.0]",False
1800000.0,300000.0,Departamento de 3 dormitorios amoblado,87,3,2,0,argenprop,Misiones,True,"(70.0, 300.0]",False
800000.0,,"Junin 1800, Piso 10",86,2,2,,argenprop,Misiones,True,"(70.0, 300.0]",False
1190000.0,,"San Martín 2100, Piso 14",104,2,3,,argenprop,Misiones,True,"(70.0, 300.0]",False
900000.0,80000.0,Av. Tambor de Tacuarí y Lavalle,70,3,2,0,argenprop,Misiones,False,"(52.0, 70.0]",True
500000.0,,"Roque Gonzalez 1000, Piso 1",40,1,1,,argenprop,Misiones,False,"(23.999, 42.0]",False
700000.0,,Edif. Alba I,95,2,2,0,argenprop,Misiones,False,"(70.0, 300.0]",True
590000.0,,"Ramón Lista 1100, Piso 2",42,1,1,,argenprop,Misiones,False,"(23.999, 42.0]",False
497000.0,,"Ramón Lista 1100, Piso 3",29,1,1,,argenprop,Misiones,False,"(23.999, 42.0]",False
473000.0,,"Ramón Lista 1100, Piso 3",27,1,1,,argenprop,Misiones,False,"(23.999, 42.0]",False
605000.0,,"Ramón Lista 1100, Piso 3",42,1,1,,argenprop,Misiones,False,"(23.999, 42.0]",False
500000.0,,"Bustamante 3000, Piso 1",60,2,1,5,argenprop,Misiones,False,"(52.0, 70.0]",True
350000.0,,San Marcos y Francia,30,,1,0,argenprop,Misiones,False,"(23.999, 42.0]",False
500000.0,,Herrera,40,1,1,0,argenprop,Misiones,False,"(23.999, 42.0]",True
490000.0,80000.0,Departamento de 2 dormitorios céntrico,60,2,1,0,argenprop,Misiones,False,"(52.0, 70.0]",True
800000.0,,"Junin 1800, Piso 7",86,2,2,,argenprop,Misiones,True,"(70.0, 300.0]",False
950000.0,,"Beato Roque González 800, Piso 15",65,1,1,,argenprop,Misiones,False,"(52.0, 70.0]",False
1100000.0,,"Beato Roque González 800, Piso 6",105,2,3,,argenprop,Misiones,False,"(70.0, 300.0]",False
1200000.0,,"Beato Roque González 800, Piso 19",105,2,3,,argenprop,Misiones,False,"(70.0, 300.0]",False
620000.0,,"Beethoven 1600, Piso 7",109,2,2,,argenprop,Misiones,False,"(70.0, 300.0]",False
1400000.0,,"Ayacucho 1300, Piso 14",100,3,3,,argenprop,Misiones,True,"(70.0, 300.0]",False
800000.0,,"Ayacucho 1300, Piso 10",67,1,1,4,argenprop,Misiones,False,"(52.0, 70.0]",True
800000.0,,"López Torres 4800, Piso 12",71,1,1,,argenprop,Misiones,False,"(70.0, 300.0]",False
2400000.0,,Colón 1300,300,5,5,,argenprop,Misiones,False,"(70.0, 300.0]",False
250000.0,,Calle 168,50,1,1,,argenprop,Misiones,False,"(42.0, 52.0]",False
1190000.0,,San Martín 2100,101,2,3,,argenprop,Misiones,False,"(70.0, 300.0]",False
900000.0,,Junín 1800,67,2,2,,argenprop,Misiones,False,"(52.0, 70.0]",False
850000.0,,Beato Roque González 800,65,1,1,,argenprop,Misiones,False,"(52.0, 70.0]",False
1100000.0,,Beato Roque González 800,105,2,3,,argenprop,Misiones,False,"(70.0, 300.0]",False
800000.0,,Ayacucho 1300,67,1,1,,argenprop,Misiones,False,"(52.0, 70.0]",False
1150000.0,60000.0,"Carlos Hilario Rodriguez 600, Piso 2",57,2,1,30,argenprop,Neuquen,True,"(52.0, 70.0]",False
1800000.0,,"Avenida Argentina y República de Italia , Piso 1",80,3,2,,argenprop,Neuquen,False,"(70.0, 300.0]",False
850000.0,85000.0,"Islas Malvinas 800, Piso Pb",46,1,1,,argenprop,Neuquen,True,"(42.0, 52.0]",False
2200000.0,,TARIFEÑO INMOBILIARIA ALQUILA,104,2,3,,argenprop,Neuquen,True,"(70.0, 300.0]",False
880000.0,69000.0,"Belgrano 100, Piso 4",40,1,1,15,argenprop,Neuquen,False,"(23.999, 42.0]",True
1500000.0,,B° URB. BOSCH,107,2,2,,argenprop,Neuquen,False,"(70.0, 300.0]",False
1800000.0,,Sargento Cabral y La Rioja,88,2,2,15,argenprop,Neuquen,False,"(70.0, 300.0]",True
1300000.0,,"Presidente arturo illia 400, Piso 2",57,2,1,,argenprop,Neuquen,True,"(52.0, 70.0]",False
1000000.0,,Departamento en alquiler Torre Vitruvio.,,1,2,,argenprop,Neuquen,True,,False
1700000.0,,"Av. San Juan 800, Piso 4",70,2,1,0,argenprop,Neuquen,False,"(52.0, 70.0]",True
780000.0,,Belgrano 200,32,,1,,argenprop,Neuquen,False,"(23.999, 42.0]",False
1300000.0,,"Tucumán 100, Piso 9",57,2,1,,argenprop,Neuquen,True,"(52.0, 70.0]",False
730000.0,,Santa Fe Sur 100,37,1,1,40,argenprop,Neuquen,False,"(23.999, 42.0]",True
